State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,03660,Frankfort Community Schools,"17,800","3,407",724
IN,18,03690,Franklin Community School Corporation,"32,463","5,722",571
IN,18,03700,Franklin County Community School Corporation,"17,138","3,038",389
IN,18,03750,Franklin Township Community School Corporation,"55,156","11,428","1,196"
IN,18,12880,Frankton-Lapel Community Schools,"12,044","2,203",292
IN,18,03780,Fremont Community Schools,"7,027","1,003",117
IN,18,03810,Frontier School Corporation,"3,994",734,67
IN,18,03840,Garrett-Keyser-Butler Community Schools,"9,473","1,821",254
IN,18,03870,Gary Community School Corporation,"73,750","14,152","6,135"
IN,18,03930,Goshen Community Schools,"37,636","7,072","1,155"
IN,18,03940,Greater Clark County Schools,"78,023","12,621","1,947"
IN,18,03960,Greater Jasper Consolidated Schools,"19,824","3,415",226
IN,18,03990,Greencastle Community School Corporation,"13,969","1,946",289
IN,18,04050,Greenfield-Central Community Schools,"28,921","4,846",442
IN,18,04080,Greensburg Community Schools,"14,547","2,546",454
IN,18,04110,Greenwood Community School Corporation,"26,665","4,455",464
IN,18,04170,Griffith Public Schools,"16,450","2,775",431
IN,18,04230,Hamilton Community Schools,"4,336",658,63
IN,18,04260,Hamilton Heights School Corporation,"14,811","2,699",194
IN,18,10650,Hamilton Southeastern Schools,"103,835","22,817",884
IN,18,04320,Hammond School City,"79,515","14,882","4,361"
IN,18,04350,Hanover Community School Corporation,"12,187","2,176",196
IN,18,04560,Highland School Town,"23,252","3,464",382
IN,18,04590,Hobart School City,"23,267","3,809",556
IN,18,04710,Huntington County Community School Corporation,"36,400","5,881",852
IN,18,04770,Indianapolis Public Schools,"308,736","50,343","20,642"
IN,18,04800,Jac-Cen-Del Community School Corporation,"5,079",864,201
IN,18,04980,Jay School Corporation,"21,046","3,951",814
IN,18,05190,Jennings County Schools,"27,758","4,784",872
IN,18,09120,John Glenn School Corporation,"9,942","1,889",259
IN,18,05280,Kankakee Valley School Corporation,"20,135","3,745",374
IN,18,05340,Knox Community School Corporation,"10,921","1,897",422
IN,18,05370,Kokomo-Center Township Consolidated School Corporation,"45,172","6,979","1,863"
IN,18,05580,La Porte Community School Corporation,"38,141","6,438","1,118"
IN,18,05400,Lafayette School Corporation,"61,405","9,601","2,143"
IN,18,05450,Lake Central School Corporation,"65,343","11,011",752
IN,18,05460,Lake Ridge Schools,"11,931","2,050",815
IN,18,02910,Lake Station Community Schools,"8,400","1,445",371
IN,18,05520,Lakeland School Corporation,"15,443","3,130",450
IN,18,03720,Lanesville Community School Corporation,"4,152",730,49
IN,18,05670,Lawrence Township Metropolitan School District,"99,816","19,002","3,546"
IN,18,05700,Lawrenceburg Community School Corporation,"10,877","1,778",279
IN,18,05790,Lebanon Community School Corporation,"24,710","4,060",510
IN,18,05880,Liberty-Perry Community School Corporation,"6,087","1,014",151
IN,18,05910,Linton-Stockton School Corporation,"8,204","1,306",268
IN,18,06030,Logansport Community School Corporation,"23,371","4,022",800
IN,18,06060,Loogootee Community School Corporation,"5,732",956,138
IN,18,06090,Maconaquah School Corporation,"14,933","2,235",491
IN,18,06120,Madison Consolidated Schools,"22,990","3,596",673
IN,18,06240,Madison-Grant United School Corporation,"8,337","1,431",240
IN,18,06270,Manchester Community Schools,"10,064","1,407",224
IN,18,06390,Marion Community Schools,"35,207","4,923","1,653"
IN,18,06510,Martinsville Schools Metropolitan School District,"30,882","5,282",812
IN,18,01230,Medora Community School Corporation,"1,568",299,74
IN,18,09690,Merrillville Community School,"46,632","7,609","1,578"
IN,18,06570,Michigan City Area Schools,"47,827","7,174","2,187"
IN,18,06600,Middlebury Community Schools,"22,604","5,391",507
IN,18,06630,Milan Community Schools,"6,220","1,165",150
IN,18,06660,Mill Creek Community School Corporation,"10,299","1,918",190
IN,18,06840,Mishawaka School City,"30,672","5,373","1,047"
IN,18,06870,Mississinewa Community School Corporation,"10,396","1,837",411
IN,18,06900,Mitchell Community Schools,"11,856","1,990",352
IN,18,07080,Monroe Central School Corporation,"5,423",924,170
IN,18,00630,Monroe County Community School Corporation,"127,304","13,300","2,229"
IN,18,04140,Monroe-Gregg School District,"7,983","1,429",127
IN,18,07140,Mooresville Consolidated School Corporation,"24,395","4,448",556
IN,18,07230,Mount Pleasant Township Community School Corporation,"13,854","2,333",266
IN,18,07260,Mount Vernon Community School Corporation,"20,454","3,814",239
IN,18,07290,Mount Vernon Metropolitan School District,"15,637","2,626",341
IN,18,07320,Muncie Community Schools,"67,984","7,734","2,448"
IN,18,07350,Munster School Town,"23,103","4,159",356
IN,18,07380,Nettle Creek School Corporation,"6,883","1,317",250
IN,18,07410,New Albany-Floyd County Consolidated Schools,"76,990","13,026","1,752"
IN,18,07440,New Castle Community School Corporation,"22,892","3,605",832
IN,18,07470,New Durham Township Metropolitan School District,"8,550",906,131
IN,18,07560,New Prairie United School Corporation,"15,234","2,772",418
IN,18,07620,Nineveh-Hensley-Jackson United School Corporation,"11,070","1,993",170
IN,18,07650,Noblesville Schools,"58,263","11,288",681
IN,18,07680,North Adams Community Schools,"15,442","2,678",380
IN,18,00118,North Central Parke Community School Corporation,"10,978","1,632",372
IN,18,07710,North Daviess Community Schools,"9,256","2,236",369
IN,18,07770,North Gibson School Corporation,"14,437","2,417",382
IN,18,00690,North Harrison Community School Corporation,"13,902","2,466",314
IN,18,07800,North Judson-San Pierre School Corporation,"7,352","1,283",252
IN,18,07830,North Knox School Corporation,"8,685","1,399",297
IN,18,07860,North Lawrence Community Schools,"33,662","5,559","1,039"
IN,18,07890,North Miami Community Schools,"5,841","1,088",151
IN,18,07900,North Montgomery Community School Corporation,"11,979","2,142",272
IN,18,07920,North Newton School Corporation,"9,028","1,492",194
IN,18,07950,North Posey County Schools Metropolitan School District,"9,839","1,593",128
IN,18,07980,North Putnam Community Schools,"10,081","1,730",249
IN,18,08010,North Spencer County School Corporation,"11,868","1,979",151
IN,18,08070,North Vermillion Community School Corporation,"4,326",707,132
IN,18,08100,North West Hendricks Schools,"10,681","2,190",87
IN,18,08130,North White School Corporation,"5,918",948,252
IN,18,08120,Northeast Dubois County School Corporation,"5,521",977,64
IN,18,08160,Northeast School Corporation,"8,409","1,351",255
IN,18,08190,Northeastern Wayne Schools,"5,635","1,081",241
IN,18,08220,Northern Wells Community Schools,"15,356","2,738",291
IN,18,08250,Northwest Allen County Schools,"36,559","7,867",526
IN,18,08310,Northwestern Consolidated School Corporation,"7,666","1,441",222
IN,18,02040,Northwestern School Corporation,"8,678","1,574",214
IN,18,08340,Oak Hill United School Corporation,"7,481","1,316",205
IN,18,08460,Oregon-Davis School Corporation,"4,343",712,143
IN,18,08490,Orleans Community Schools,"4,641",845,191
IN,18,08640,Paoli Community School Corporation,"9,081","1,555",361
IN,18,08760,Penn-Harris-Madison School Corporation,"61,652","12,005",988
IN,18,01740,Perry Central Community School Corporation,"7,216","1,107",112
IN,18,08820,Perry Township Metropolitan School District,"97,849","16,498","3,361"
IN,18,08850,Peru Community Schools,"13,207","2,223",611
IN,18,08900,Pike County School Corporation,"12,431","2,016",274
IN,18,08910,Pike Township Metropolitan School District,"76,627","13,682","3,022"
IN,18,08940,Pioneer Regional School Corporation,"5,060",886,152
IN,18,08970,Plainfield Community School Corporation,"30,761","5,088",355
IN,18,09060,Plymouth Community School Corporation,"19,396","3,519",645
IN,18,09150,Portage Township Schools,"48,069","8,485","1,072"
IN,18,09180,Porter Township School Corporation,"9,567","1,567",97
IN,18,09300,Prairie Heights Community School Corporation,"9,868","1,589",275
IN,18,01770,Randolph Central School Corporation,"9,475","1,575",408
IN,18,03180,Randolph Eastern School Corporation,"5,012",895,244
IN,18,10740,Randolph Southern School Corporation,"3,119",556,141
IN,18,09420,Rensselaer Central School Corporation,"10,709","1,797",231
IN,18,09480,Richland-Bean Blossom Community School Corporation,"18,192","3,217",365
IN,18,09510,Richmond Community School Corporation,"40,618","6,017","1,512"
IN,18,09600,Rising Sun-Ohio County Community Schools,"5,932",850,116
IN,18,04620,River Forest Community School Corporation,"7,271","1,291",437
IN,18,09630,Rochester Community School Corporation,"11,315","1,897",336
IN,18,09720,Rossville Consolidated School District,"4,987","1,042",113
IN,18,09750,Rush County Schools,"14,585","2,505",433
IN,18,09810,Salem Community Schools,"12,561","2,003",378
IN,18,09990,Scott County School District 1,"6,509","1,151",328
IN,18,10020,Scott County School District 2,"17,221","2,763",520
IN,18,10080,Seymour Community Schools,"28,126","5,001",710
IN,18,10110,Shakamak Schools Metropolitan School District,"5,241",890,165
IN,18,03210,Shelby Eastern Schools,"8,442","1,408",125
IN,18,10140,Shelbyville Central Schools,"23,535","3,968",642
IN,18,08280,Shenandoah School Corporation,"7,328","1,283",184
IN,18,06480,Sheridan Community Schools,"7,005","1,289",131
IN,18,10170,Shoals Community School Corporation,"4,439",670,130
IN,18,10230,Smith-Green Community Schools,"7,453","1,332",106
IN,18,10260,South Adams Schools,"10,795","2,549",860
IN,18,10290,South Bend Community School Corporation,"161,428","26,567","6,836"
IN,18,02190,South Central Community School Corporation,"4,056",745,91
IN,18,00240,South Dearborn Community School Corporation,"17,000","2,937",442
IN,18,10350,South Gibson School Corporation,"12,390","2,275",190
IN,18,10360,South Harrison Community Schools,"21,395","3,475",472
IN,18,10380,South Henry School Corporation,"4,392",730,128
IN,18,10410,South Knox School Corporation,"6,073","1,101",141
IN,18,10440,South Madison Community School Corporation,"25,661","4,607",427
IN,18,10450,South Montgomery Community School Corporation,"10,548","1,908",199
IN,18,10470,South Newton School Corporation,"5,073",836,193
IN,18,10500,South Putnam Community Schools,"9,511","1,195",156
IN,18,10530,South Ripley Community School Corporation,"7,697","1,256",256
IN,18,10560,South Spencer County School Corporation,"8,780","1,533",196
IN,18,10590,South Vermillion Community School Corporation,"11,319","1,925",288
IN,18,10640,Southeast Dubois County School Corporation,"7,412","1,284",73
IN,18,10620,Southeast Fountain School Corporation,"6,786","1,137",207
IN,18,10680,Southeastern School Corporation,"8,226","1,413",148
IN,18,10710,Southern Hancock County Community School Corporation,"18,265","3,428",154
IN,18,10770,Southern Wells Community Schools,"3,965",753,89
IN,18,00030,Southwest Allen County Metropolitan School District,"40,777","8,553",520
IN,18,10870,Southwest Dubois County School Corporation,"9,795","1,706",198
IN,18,10900,Southwest Parke Community School Corporation,"5,110",900,206
IN,18,10860,Southwest School Corporation,"12,393","1,664",284
IN,18,10800,Southwestern Jefferson County Consolidated Schools,"9,428","1,401",245
IN,18,10830,Southwestern Shelby County Consolidated Schools,"4,360",801,83
IN,18,10920,Speedway School Town,"12,307","1,812",425
IN,18,10950,Spencer-Owen Community Schools,"17,366","2,841",513
IN,18,10980,Springs Valley Community School Corporation,"5,613",914,221
IN,18,11100,Steuben County Metropolitan School District,"18,018","2,720",429
IN,18,11190,Sunman-Dearborn Community School Corporation,"24,466","4,574",312
IN,18,11220,Switzerland County School Corporation,"10,527","1,933",492
IN,18,11250,Taylor Community School Corporation,"9,273","1,461",266
IN,18,11260,Tell City-Troy Township School Corporation,"10,217","1,608",256
IN,18,11340,Tippecanoe School Corporation,"97,452","15,275","1,673"
IN,18,11370,Tippecanoe Valley School Corporation,"11,732","2,149",272
IN,18,11400,Tipton Community School Corporation,"10,388","1,648",204
IN,18,08040,Tipton County Northern Community School Corporation,"4,794",788,49
IN,18,11430,Tri-County School Corporation,"4,231",781,95
IN,18,11460,Tri-Creek School Corporation,"20,167","3,685",406
IN,18,00107,Tri-Township Consolidated School Corporation,"2,925",461,67
IN,18,11490,Triton School Corporation,"5,951","1,216",146
IN,18,11580,Twin Lakes School Corporation,"14,347","2,353",329
IN,18,11610,Union County-College Corner Joint School District,"7,575","1,229",217
IN,18,11730,Union School Corporation,"2,854",484,115
IN,18,11700,Union Township School Corporation,"8,996","1,649",90
IN,18,11910,Union-North United School Corporation,"7,970","1,464",233
IN,18,11970,Valparaiso Community Schools,"44,180","6,775",533
IN,18,12090,Vigo County School Corporation,"107,931","15,929","3,318"
IN,18,12120,Vincennes Community School Corporation,"22,986","3,255",717
IN,18,12240,Wa-Nee Community Schools,"20,253","4,560",436
IN,18,12150,Wabash City Schools,"8,947","1,391",284
IN,18,12180,Wabash County Schools Metropolitan School District,"12,751","2,213",232
IN,18,06080,Warren County Metropolitan School District,"7,073","1,141",149
IN,18,12360,Warren Township Metropolitan School District,"66,418","13,321","3,632"
IN,18,12390,Warrick County School Corporation,"62,498","11,636",986
IN,18,12420,Warsaw Community Schools,"41,137","7,292",927
IN,18,12450,Washington Community School Corporation,"18,045","3,277",680
IN,18,12720,Washington Township Metropolitan School District,"91,677","13,675","2,613"
IN,18,05550,Wawasee Community School Corporation,"20,304","3,367",526
IN,18,12810,Wayne Township Metropolitan School District,"84,457","15,112","4,524"
IN,18,04500,Wes-Del Community Schools,"5,309",797,145
IN,18,09360,West Central School Corporation,"4,489",810,130
IN,18,09370,West Clark Community Schools,"28,386","5,043",514
IN,18,12870,West Lafayette Community School Corporation,"27,111","2,372",218
IN,18,12900,West Noble School Corporation,"12,978","2,795",412
IN,18,12930,West Washington School Corporation,"5,603","1,008",205
IN,18,12990,Western Boone County Community School Corporation,"10,758","2,004",209
IN,18,04470,Western School Corporation,"12,972","2,521",258
IN,18,13050,Western Wayne Schools,"5,881","1,041",163
IN,18,13080,Westfield-Washington Schools,"37,891","8,034",453
IN,18,13110,Westview School Corporation,"19,932","5,601",675
IN,18,00008,White River Valley School District,"5,617",895,159
IN,18,13200,Whiting School City,"4,541",834,175
IN,18,13230,Whitko Community School Corporation,"10,681","1,963",315
IN,18,02280,Whitley County Consolidated Schools,"22,945","3,884",380
IN,18,02830,Zionsville Community Schools,"27,778","6,540",138
