State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,00060,Adams Central Community Schools,"8,995","2,490",729
IN,18,00120,Alexandria Community School Corporation,"8,630","1,484",376
IN,18,00150,Anderson Community School Corporation,"70,231","10,554","3,175"
IN,18,00180,Argos Community Schools,"3,810",723,111
IN,18,00210,Attica Consolidated School Corporation,"4,807",822,135
IN,18,00270,Avon Community School Corporation,"49,425","10,090",544
IN,18,00330,Barr-Reeve Community School Corporation,"5,668","1,445",228
IN,18,00360,Bartholomew County School Corporation,"75,354","12,927","1,778"
IN,18,00390,Batesville Community School Corporation,"12,052","2,333",235
IN,18,00420,Baugo Community Schools,"9,728","2,032",215
IN,18,00450,Beech Grove City Schools,"14,424","2,646",705
IN,18,00480,Benton Community School Corporation,"11,011","2,097",292
IN,18,00570,Blackford County Schools,"12,149","1,961",420
IN,18,00600,Bloomfield School District,"6,735","1,069",216
IN,18,00660,Blue River Valley Schools,"6,611",722,136
IN,18,00720,Bluffton-Harrison Metropolitan School District,"8,628","1,496",240
IN,18,00750,Boone Township Metropolitan School District,"6,285","1,074",108
IN,18,00900,Bremen Public Schools,"8,809","1,843",163
IN,18,00960,Brown County County School Corporation,"14,912","2,197",366
IN,18,01020,Brownsburg Community School Corporation,"44,460","9,104",471
IN,18,01050,Brownstown Central Community School Corporation,"10,768","1,931",241
IN,18,01060,C. A. Beard Memorial School Corporation,"7,895","1,336",205
IN,18,01170,Cannelton City Schools,"1,533",271,77
IN,18,01200,Carmel Clay Schools,"95,975","20,447",557
IN,18,01290,Carroll Consolidated School Corporation,"6,509","1,113",113
IN,18,01410,Caston School Corporation,"4,484",787,129
IN,18,01440,Center Grove Community School Corporation,"44,184","8,800",425
IN,18,01560,Centerville-Abington Community Schools,"8,217","1,601",309
IN,18,01710,Central Noble Community School Corporation,"8,778","1,487",225
IN,18,02880,City of East Chicago School District,"29,087","5,965","2,578"
IN,18,01890,Clark-Pleasant Community School Corporation,"35,127","6,773",637
IN,18,01920,Clarksville Community School Corporation,"9,622","1,454",285
IN,18,00840,Clay Community Schools,"25,588","4,285",811
IN,18,02130,Clinton Central School Corporation,"5,246","1,048",128
IN,18,02160,Clinton Prairie School Corporation,"5,671",968,120
IN,18,02220,Cloverdale Community Schools,"7,349","1,170",227
IN,18,02400,Concord Community Schools,"26,541","5,138",878
IN,18,02430,Covington Community School Corporation,"5,294",854,106
IN,18,07020,Cowan Community School Corporation,"3,663",626,70
IN,18,02440,Crawford County Community School Corporation,"10,916","1,808",428
IN,18,02460,Crawfordsville Community Schools,"15,547","2,349",446
IN,18,12060,Crothersville Community Schools,"3,551",581,94
IN,18,02490,Crown Point Community School Corporation,"40,950","7,360",600
IN,18,02520,Culver Community Schools Corporation,"6,874","1,138",179
IN,18,09840,Daleville Community Schools,"3,963",638,80
IN,18,02550,Danville Community School Corporation,"14,984","2,927",158
IN,18,01590,DeKalb County Central United School District,"24,467","4,361",488
IN,18,03060,DeKalb County Eastern Community School District,"7,938","1,576",166
IN,18,02610,Decatur County Community Schools,"12,372","2,367",305
IN,18,02640,Decatur Township Metropolitan School District,"33,762","7,198","1,462"
IN,18,02660,Delaware Community School Corporation,"14,743","2,500",361
IN,18,02700,Delphi Community School Corporation,"9,561","1,646",234
IN,18,02800,Duneland School Corporation,"35,348","6,339",505
IN,18,02850,East Allen County Schools,"68,396","14,274","2,634"
IN,18,02940,East Gibson School Corporation,"6,876","1,068",138
IN,18,02970,East Noble School Corporation,"23,224","4,078",566
IN,18,09000,East Porter County School Corporation,"13,176","2,308",137
IN,18,03000,East Washington School Corporation,"9,506","1,741",347
IN,18,03030,Eastbrook Community School Corporation,"10,245","1,585",200
IN,18,03090,Eastern Greene County School District,"7,847","1,436",240
IN,18,03120,Eastern Hancock County Community School Corporation,"6,077","1,112",115
IN,18,03150,Eastern Howard School Corporation,"6,473","1,212",137
IN,18,07110,Eastern Pulaski Community School Corporation,"7,074","1,146",215
IN,18,03240,Edinburgh Community School Corporation,"5,360",884,198
IN,18,03270,Elkhart Community Schools,"77,947","14,877","3,259"
IN,18,03300,Elwood Community School Corporation,"9,903","1,652",425
IN,18,03330,Eminence Community School Corporation,"2,958",522,74
IN,18,03450,Evansville-Vanderburgh School Corporation,"181,721","28,532","5,978"
IN,18,03480,Fairfield Community Schools,"12,249","3,039",206
IN,18,03510,Fayette County School Corporation,"23,331","3,971",767
IN,18,03570,Flat Rock-Hawcreek School Corporation,"5,807","1,048",112
IN,18,03630,Fort Wayne Community Schools,"224,672","39,223","9,779"
