State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,05370,Kokomo-Center Township Consolidated School Corporation,"45,166","6,999","1,885"
IN,18,05580,La Porte Community School Corporation,"38,442","6,538","1,190"
IN,18,05400,Lafayette School Corporation,"60,676","9,445","2,235"
IN,18,05450,Lake Central School Corporation,"65,614","11,153",810
IN,18,05460,Lake Ridge Schools,"11,981","2,077",884
IN,18,02910,Lake Station Community Schools,"8,434","1,463",414
IN,18,05520,Lakeland School Corporation,"15,329","3,085",434
IN,18,03720,Lanesville Community School Corporation,"4,126",739,61
IN,18,05670,Lawrence Township Metropolitan School District,"99,582","18,908","3,760"
IN,18,05700,Lawrenceburg Community School Corporation,"10,904","1,811",283
IN,18,05790,Lebanon Community School Corporation,"24,210","4,081",477
IN,18,05880,Liberty-Perry Community School Corporation,"6,153","1,039",166
IN,18,05910,Linton-Stockton School Corporation,"8,262","1,345",307
IN,18,06030,Logansport Community School Corporation,"23,392","4,092",812
IN,18,06060,Loogootee Community School Corporation,"5,763","1,008",165
IN,18,06090,Maconaquah School Corporation,"14,924","2,257",458
IN,18,06120,Madison Consolidated Schools,"22,988","3,647",597
IN,18,06240,Madison-Grant United School Corporation,"8,431","1,440",216
IN,18,06270,Manchester Community Schools,"10,183","1,457",229
IN,18,06390,Marion Community Schools,"35,756","4,952","1,642"
IN,18,06510,Martinsville Schools Metropolitan School District,"30,860","5,345",910
IN,18,01230,Medora Community School Corporation,"1,570",292,76
IN,18,09690,Merrillville Community School,"46,825","7,707","1,613"
IN,18,06570,Michigan City Area Schools,"48,185","7,285","2,247"
IN,18,06600,Middlebury Community Schools,"22,570","5,442",573
IN,18,06630,Milan Community Schools,"6,189","1,175",130
IN,18,06660,Mill Creek Community School Corporation,"10,143","1,913",190
IN,18,06840,Mishawaka School City,"30,592","5,360","1,306"
IN,18,06870,Mississinewa Community School Corporation,"10,558","1,848",436
IN,18,06900,Mitchell Community Schools,"11,850","1,997",328
IN,18,07080,Monroe Central School Corporation,"5,442",947,223
IN,18,00630,Monroe County Community School Corporation,"126,611","13,393","2,377"
IN,18,04140,Monroe-Gregg School District,"7,977","1,445",135
IN,18,07140,Mooresville Consolidated School Corporation,"24,378","4,500",546
IN,18,07230,Mount Pleasant Township Community School Corporation,"14,004","2,389",283
IN,18,07260,Mount Vernon Community School Corporation,"20,122","3,836",234
IN,18,07290,Mount Vernon Metropolitan School District,"15,659","2,695",349
IN,18,07320,Muncie Community Schools,"68,717","7,916","2,695"
IN,18,07350,Munster School Town,"23,199","4,213",353
IN,18,07380,Nettle Creek School Corporation,"6,929","1,323",231
IN,18,07410,New Albany-Floyd County Consolidated Schools,"76,778","13,357","2,028"
IN,18,07440,New Castle Community School Corporation,"23,111","3,689",773
IN,18,07470,New Durham Township Metropolitan School District,"8,618",920,136
IN,18,07560,New Prairie United School Corporation,"15,304","2,799",443
IN,18,07620,Nineveh-Hensley-Jackson United School Corporation,"10,950","1,996",226
IN,18,07650,Noblesville Schools,"57,033","11,293",749
IN,18,07680,North Adams Community Schools,"15,332","2,661",332
IN,18,00118,North Central Parke Community School Corporation,"11,044","1,612",348
IN,18,07710,North Daviess Community Schools,"9,239","2,218",369
IN,18,07770,North Gibson School Corporation,"14,469","2,440",425
IN,18,00690,North Harrison Community School Corporation,"13,816","2,496",342
IN,18,07800,North Judson-San Pierre School Corporation,"7,355","1,304",248
IN,18,07830,North Knox School Corporation,"8,727","1,381",308
IN,18,07860,North Lawrence Community Schools,"33,645","5,580","1,101"
IN,18,07890,North Miami Community Schools,"5,838","1,099",144
IN,18,07900,North Montgomery Community School Corporation,"12,027","2,171",341
IN,18,07920,North Newton School Corporation,"9,082","1,527",196
IN,18,07950,North Posey County Schools Metropolitan School District,"9,853","1,635",137
IN,18,07980,North Putnam Community Schools,"10,121","1,746",285
IN,18,08010,North Spencer County School Corporation,"11,907","1,959",166
IN,18,08070,North Vermillion Community School Corporation,"4,339",705,156
IN,18,08100,North West Hendricks Schools,"10,520","2,184",94
IN,18,08130,North White School Corporation,"5,991",968,270
IN,18,08120,Northeast Dubois County School Corporation,"5,509",992,78
IN,18,08160,Northeast School Corporation,"8,460","1,398",213
IN,18,08190,Northeastern Wayne Schools,"5,672","1,083",263
IN,18,08220,Northern Wells Community Schools,"15,364","2,745",316
IN,18,08250,Northwest Allen County Schools,"36,366","7,877",510
IN,18,08310,Northwestern Consolidated School Corporation,"7,693","1,428",181
IN,18,02040,Northwestern School Corporation,"8,676","1,578",210
IN,18,08340,Oak Hill United School Corporation,"7,567","1,324",189
IN,18,08460,Oregon-Davis School Corporation,"4,334",721,114
IN,18,08490,Orleans Community Schools,"4,706",869,211
IN,18,08640,Paoli Community School Corporation,"9,207","1,601",365
IN,18,08760,Penn-Harris-Madison School Corporation,"61,491","11,974","1,164"
IN,18,01740,Perry Central Community School Corporation,"7,361","1,115",99
IN,18,08820,Perry Township Metropolitan School District,"97,619","16,417","3,457"
IN,18,08850,Peru Community Schools,"13,199","2,246",542
IN,18,08900,Pike County School Corporation,"12,594","2,035",294
IN,18,08910,Pike Township Metropolitan School District,"76,447","13,615","3,171"
IN,18,08940,Pioneer Regional School Corporation,"5,069",902,163
IN,18,08970,Plainfield Community School Corporation,"30,298","5,073",386
IN,18,09060,Plymouth Community School Corporation,"19,521","3,589",644
IN,18,09150,Portage Township Schools,"48,040","8,589","1,546"
IN,18,09180,Porter Township School Corporation,"9,562","1,586",132
IN,18,09300,Prairie Heights Community School Corporation,"9,877","1,611",274
IN,18,01770,Randolph Central School Corporation,"9,510","1,613",399
IN,18,03180,Randolph Eastern School Corporation,"5,030",918,273
IN,18,10740,Randolph Southern School Corporation,"3,130",571,109
IN,18,09420,Rensselaer Central School Corporation,"10,720","1,862",267
IN,18,09480,Richland-Bean Blossom Community School Corporation,"18,094","3,239",390
IN,18,09510,Richmond Community School Corporation,"40,882","6,026","1,758"
IN,18,09600,Rising Sun-Ohio County Community Schools,"5,938",872,118
IN,18,04620,River Forest Community School Corporation,"7,302","1,307",489
IN,18,09630,Rochester Community School Corporation,"11,413","1,921",328
IN,18,09720,Rossville Consolidated School District,"4,998","1,058",139
IN,18,09750,Rush County Schools,"14,605","2,575",486
IN,18,09810,Salem Community Schools,"12,632","2,030",423
IN,18,09990,Scott County School District 1,"6,513","1,167",272
IN,18,10020,Scott County School District 2,"17,231","2,800",584
IN,18,10080,Seymour Community Schools,"28,163","4,885",791
IN,18,10110,Shakamak Schools Metropolitan School District,"5,279",914,227
IN,18,03210,Shelby Eastern Schools,"8,471","1,395",134
IN,18,10140,Shelbyville Central Schools,"23,617","3,932",708
IN,18,08280,Shenandoah School Corporation,"7,398","1,314",181
IN,18,06480,Sheridan Community Schools,"6,859","1,291",151
IN,18,10170,Shoals Community School Corporation,"4,463",707,141
IN,18,10230,Smith-Green Community Schools,"7,450","1,351",95
IN,18,10260,South Adams Schools,"10,718","2,534",837
IN,18,10290,South Bend Community School Corporation,"161,008","26,499","7,828"
IN,18,02190,South Central Community School Corporation,"4,089",757,114
IN,18,00240,South Dearborn Community School Corporation,"17,043","2,991",455
IN,18,10350,South Gibson School Corporation,"12,416","2,297",193
IN,18,10360,South Harrison Community Schools,"21,261","3,517",515
IN,18,10380,South Henry School Corporation,"4,434",748,127
IN,18,10410,South Knox School Corporation,"6,102","1,087",104
IN,18,10440,South Madison Community School Corporation,"25,745","4,636",405
IN,18,10450,South Montgomery Community School Corporation,"10,590","1,934",238
IN,18,10470,South Newton School Corporation,"5,104",856,173
IN,18,10500,South Putnam Community Schools,"9,549","1,206",166
IN,18,10530,South Ripley Community School Corporation,"7,659","1,267",212
IN,18,10560,South Spencer County School Corporation,"8,808","1,519",205
IN,18,10590,South Vermillion Community School Corporation,"11,353","1,920",279
IN,18,10640,Southeast Dubois County School Corporation,"7,397","1,304",78
IN,18,10620,Southeast Fountain School Corporation,"6,830","1,149",227
IN,18,10680,Southeastern School Corporation,"8,233","1,438",139
IN,18,10710,Southern Hancock County Community School Corporation,"17,968","3,448",168
IN,18,10770,Southern Wells Community Schools,"3,968",754,76
IN,18,00030,Southwest Allen County Metropolitan School District,"40,562","8,563",566
IN,18,10870,Southwest Dubois County School Corporation,"9,774","1,732",214
IN,18,10900,Southwest Parke Community School Corporation,"5,141",888,218
IN,18,10860,Southwest School Corporation,"12,468","1,723",338
IN,18,10800,Southwestern Jefferson County Consolidated Schools,"9,428","1,421",283
IN,18,10830,Southwestern Shelby County Consolidated Schools,"4,375",794,117
IN,18,10920,Speedway School Town,"12,278","1,803",454
IN,18,10950,Spencer-Owen Community Schools,"17,393","2,955",645
IN,18,10980,Springs Valley Community School Corporation,"5,692",941,206
IN,18,11100,Steuben County Metropolitan School District,"18,153","2,830",463
IN,18,11190,Sunman-Dearborn Community School Corporation,"24,505","4,653",334
IN,18,11220,Switzerland County School Corporation,"10,524","1,992",503
IN,18,11250,Taylor Community School Corporation,"9,272","1,465",275
IN,18,11260,Tell City-Troy Township School Corporation,"10,422","1,620",302
IN,18,11340,Tippecanoe School Corporation,"96,295","15,026","1,726"
IN,18,11370,Tippecanoe Valley School Corporation,"11,726","2,173",314
IN,18,11400,Tipton Community School Corporation,"10,446","1,735",218
IN,18,08040,Tipton County Northern Community School Corporation,"4,821",830,56
IN,18,11430,Tri-County School Corporation,"4,260",802,86
IN,18,11460,Tri-Creek School Corporation,"20,251","3,733",455
IN,18,00107,Tri-Township Consolidated School Corporation,"2,948",468,66
IN,18,11490,Triton School Corporation,"5,971","1,237",152
IN,18,11580,Twin Lakes School Corporation,"14,474","2,406",349
IN,18,11610,Union County-College Corner Joint School District,"7,548","1,326",228
IN,18,11730,Union School Corporation,"2,869",497,124
IN,18,11700,Union Township School Corporation,"8,990","1,669",133
IN,18,11910,Union-North United School Corporation,"7,989","1,479",249
IN,18,11970,Valparaiso Community Schools,"44,153","6,858",877
IN,18,12090,Vigo County School Corporation,"107,896","15,816","3,599"
IN,18,12120,Vincennes Community School Corporation,"23,098","3,215",886
IN,18,12240,Wa-Nee Community Schools,"20,208","4,602",418
IN,18,12150,Wabash City Schools,"9,053","1,441",293
IN,18,12180,Wabash County Schools Metropolitan School District,"12,902","2,291",278
IN,18,06080,Warren County Metropolitan School District,"7,162","1,176",170
IN,18,12360,Warren Township Metropolitan School District,"66,262","13,256","3,495"
IN,18,12390,Warrick County School Corporation,"61,897","11,673","1,000"
IN,18,12420,Warsaw Community Schools,"40,892","7,358",945
IN,18,12450,Washington Community School Corporation,"18,010","3,251",683
IN,18,12720,Washington Township Metropolitan School District,"91,461","13,608","2,640"
IN,18,05550,Wawasee Community School Corporation,"20,182","3,397",430
IN,18,12810,Wayne Township Metropolitan School District,"84,259","15,037","4,675"
IN,18,04500,Wes-Del Community Schools,"5,366",816,195
IN,18,09360,West Central School Corporation,"4,560",837,119
IN,18,09370,West Clark Community Schools,"28,225","5,070",542
IN,18,12870,West Lafayette Community School Corporation,"26,789","2,333",206
IN,18,12900,West Noble School Corporation,"13,004","2,870",379
IN,18,12930,West Washington School Corporation,"5,635","1,022",227
IN,18,12990,Western Boone County Community School Corporation,"10,540","2,015",159
IN,18,04470,Western School Corporation,"12,970","2,528",255
IN,18,13050,Western Wayne Schools,"5,919","1,043",207
IN,18,13080,Westfield-Washington Schools,"37,091","8,038",388
IN,18,13110,Westview School Corporation,"19,779","5,512",628
IN,18,00008,White River Valley School District,"5,657",922,153
IN,18,13200,Whiting School City,"4,560",845,195
IN,18,13230,Whitko Community School Corporation,"10,642","1,979",286
IN,18,02280,Whitley County Consolidated Schools,"22,915","3,915",366
IN,18,02830,Zionsville Community Schools,"27,215","6,574",160
