State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
IN,18,00060,Adams Central Community Schools,"8,930","2,475",694
IN,18,00120,Alexandria Community School Corporation,"8,658","1,493",344
IN,18,00150,Anderson Community School Corporation,"70,465","10,621","3,098"
IN,18,00180,Argos Community Schools,"3,834",737,93
IN,18,00210,Attica Consolidated School Corporation,"4,837",831,143
IN,18,00270,Avon Community School Corporation,"48,682","10,061",557
IN,18,00330,Barr-Reeve Community School Corporation,"5,657","1,433",302
IN,18,00360,Bartholomew County School Corporation,"75,132","13,088","1,918"
IN,18,00390,Batesville Community School Corporation,"12,053","2,378",232
IN,18,00420,Baugo Community Schools,"9,713","2,051",251
IN,18,00450,Beech Grove City Schools,"14,390","2,633",755
IN,18,00480,Benton Community School Corporation,"11,024","2,116",307
IN,18,00570,Blackford County Schools,"12,298","1,974",440
IN,18,00600,Bloomfield School District,"6,783","1,100",165
IN,18,00660,Blue River Valley Schools,"6,674",740,128
IN,18,00720,Bluffton-Harrison Metropolitan School District,"8,632","1,500",231
IN,18,00750,Boone Township Metropolitan School District,"6,281","1,087",142
IN,18,00900,Bremen Public Schools,"8,866","1,880",151
IN,18,00960,Brown County County School Corporation,"14,977","2,269",401
IN,18,01020,Brownsburg Community School Corporation,"43,791","9,077",435
IN,18,01050,Brownstown Central Community School Corporation,"10,781","1,886",239
IN,18,01060,C. A. Beard Memorial School Corporation,"7,954","1,370",250
IN,18,01170,Cannelton City Schools,"1,564",272,67
IN,18,01200,Carmel Clay Schools,"93,949","20,456",729
IN,18,01290,Carroll Consolidated School Corporation,"6,472","1,143",140
IN,18,01410,Caston School Corporation,"4,510",799,142
IN,18,01440,Center Grove Community School Corporation,"43,501","8,780",438
IN,18,01560,Centerville-Abington Community Schools,"8,271","1,604",333
IN,18,01710,Central Noble Community School Corporation,"8,795","1,528",206
IN,18,02880,City of East Chicago School District,"29,208","6,042","2,773"
IN,18,01890,Clark-Pleasant Community School Corporation,"34,584","6,759",683
IN,18,01920,Clarksville Community School Corporation,"9,567","1,462",304
IN,18,00840,Clay Community Schools,"25,776","4,360",800
IN,18,02130,Clinton Central School Corporation,"5,270","1,062",103
IN,18,02160,Clinton Prairie School Corporation,"5,697",980,103
IN,18,02220,Cloverdale Community Schools,"7,369","1,199",237
IN,18,02400,Concord Community Schools,"26,501","5,187",906
IN,18,02430,Covington Community School Corporation,"5,330",866,124
IN,18,07020,Cowan Community School Corporation,"3,703",641,86
IN,18,02440,Crawford County Community School Corporation,"10,858","1,810",438
IN,18,02460,Crawfordsville Community Schools,"15,610","2,381",550
IN,18,12060,Crothersville Community Schools,"3,555",567,81
IN,18,02490,Crown Point Community School Corporation,"41,120","7,455",669
IN,18,02520,Culver Community Schools Corporation,"6,922","1,161",176
IN,18,09840,Daleville Community Schools,"4,006",653,97
IN,18,02550,Danville Community School Corporation,"14,758","2,918",170
IN,18,01590,DeKalb County Central United School District,"24,382","4,381",524
IN,18,03060,DeKalb County Eastern Community School District,"7,909","1,583",200
IN,18,02610,Decatur County Community Schools,"12,338","2,383",300
IN,18,02640,Decatur Township Metropolitan School District,"33,683","7,163","1,443"
IN,18,02660,Delaware Community School Corporation,"14,903","2,559",361
IN,18,02700,Delphi Community School Corporation,"9,506","1,689",186
IN,18,02800,Duneland School Corporation,"35,326","6,416",707
IN,18,02850,East Allen County Schools,"68,035","14,291","2,691"
IN,18,02940,East Gibson School Corporation,"6,890","1,079",145
IN,18,02970,East Noble School Corporation,"23,271","4,187",514
IN,18,09000,East Porter County School Corporation,"13,168","2,337",169
IN,18,03000,East Washington School Corporation,"9,560","1,764",341
IN,18,03030,Eastbrook Community School Corporation,"10,404","1,594",194
IN,18,03090,Eastern Greene County School District,"7,903","1,478",235
IN,18,03120,Eastern Hancock County Community School Corporation,"5,978","1,119",111
IN,18,03150,Eastern Howard School Corporation,"6,472","1,216",137
IN,18,07110,Eastern Pulaski Community School Corporation,"7,200","1,184",247
IN,18,03240,Edinburgh Community School Corporation,"5,277",882,191
IN,18,03270,Elkhart Community Schools,"77,831","15,018","3,413"
IN,18,03300,Elwood Community School Corporation,"9,935","1,662",420
IN,18,03330,Eminence Community School Corporation,"2,956",528,73
IN,18,03450,Evansville-Vanderburgh School Corporation,"181,877","28,488","6,331"
IN,18,03480,Fairfield Community Schools,"12,230","3,068",197
IN,18,03510,Fayette County School Corporation,"23,434","4,058",863
IN,18,03570,Flat Rock-Hawcreek School Corporation,"5,790","1,061",138
IN,18,03630,Fort Wayne Community Schools,"223,487","39,271","9,968"
IN,18,03660,Frankfort Community Schools,"17,884","3,452",692
IN,18,03690,Franklin Community School Corporation,"31,961","5,710",612
IN,18,03700,Franklin County Community School Corporation,"17,256","3,134",406
IN,18,03750,Franklin Township Community School Corporation,"55,027","11,372","1,183"
IN,18,12880,Frankton-Lapel Community Schools,"12,084","2,217",341
IN,18,03780,Fremont Community Schools,"7,080","1,043",99
IN,18,03810,Frontier School Corporation,"4,043",750,75
IN,18,03840,Garrett-Keyser-Butler Community Schools,"9,438","1,829",261
IN,18,03870,Gary Community School Corporation,"74,057","14,335","7,035"
IN,18,03930,Goshen Community Schools,"37,579","7,140","1,200"
IN,18,03940,Greater Clark County Schools,"77,579","12,689","2,001"
IN,18,03960,Greater Jasper Consolidated Schools,"19,781","3,469",249
IN,18,03990,Greencastle Community School Corporation,"14,025","1,964",305
IN,18,04050,Greenfield-Central Community Schools,"28,452","4,875",399
IN,18,04080,Greensburg Community Schools,"14,505","2,564",502
IN,18,04110,Greenwood Community School Corporation,"26,253","4,446",552
IN,18,04170,Griffith Public Schools,"16,518","2,811",482
IN,18,04230,Hamilton Community Schools,"4,354",679,53
IN,18,04260,Hamilton Heights School Corporation,"14,499","2,701",186
IN,18,10650,Hamilton Southeastern Schools,"101,645","22,826",908
IN,18,04320,Hammond School City,"79,846","15,076","4,926"
IN,18,04350,Hanover Community School Corporation,"12,238","2,204",220
IN,18,04560,Highland School Town,"23,348","3,509",405
IN,18,04590,Hobart School City,"23,364","3,859",590
IN,18,04710,Huntington County Community School Corporation,"36,630","5,980",879
IN,18,04770,Indianapolis Public Schools,"308,012","50,092","21,067"
IN,18,04800,Jac-Cen-Del Community School Corporation,"5,053",871,185
IN,18,04980,Jay School Corporation,"21,121","3,994",897
IN,18,05190,Jennings County Schools,"27,897","4,933",911
IN,18,09120,John Glenn School Corporation,"9,944","1,897",290
IN,18,05280,Kankakee Valley School Corporation,"20,157","3,881",377
IN,18,05340,Knox Community School Corporation,"10,896","1,921",426
