Label,        Under 5 years,        5 to 17 years,        Related children of householder under 18 years
"Anderson Community School Corporation, Indiana!!Percent below poverty level!!Estimate",26.20%,40.30%,35.80%
"Bartholomew County School Corporation, Indiana!!Percent below poverty level!!Estimate",24.80%,17.00%,19.00%
"Monroe County Community School Corporation, Indiana!!Percent below poverty level!!Estimate",15.50%,18.50%,17.60%
"Carmel Clay Schools, Indiana!!Percent below poverty level!!Estimate",3.70%,4.90%,4.60%
"East Allen County Schools, Indiana!!Percent below poverty level!!Estimate",10.00%,10.50%,10.10%
"Elkhart Community Schools, Indiana!!Percent below poverty level!!Estimate",15.50%,33.60%,28.50%
"Evansville-Vanderburgh School Corporation, Indiana!!Percent below poverty level!!Estimate",23.30%,24.40%,23.40%
"Fort Wayne Community Schools, Indiana!!Percent below poverty level!!Estimate",27.40%,33.00%,30.40%
"Gary Community School Corporation, Indiana!!Percent below poverty level!!Estimate",56.40%,51.40%,52.30%
"Greater Clark County Schools, Indiana!!Percent below poverty level!!Estimate",10.20%,18.30%,15.30%
"Hammond School City, Indiana!!Percent below poverty level!!Estimate",37.10%,30.10%,31.20%
"Indianapolis Public Schools, Indiana!!Percent below poverty level!!Estimate",39.30%,41.80%,40.70%
"Lake Central School Corporation, Indiana!!Percent below poverty level!!Estimate",3.60%,0.40%,1.10%
"Lawrence Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",13.80%,25.60%,22.30%
"Muncie Community Schools, Indiana!!Percent below poverty level!!Estimate",47.30%,34.40%,38.60%
"New Albany-Floyd County Consolidated Schools, Indiana!!Percent below poverty level!!Estimate",12.60%,9.30%,9.70%
"Penn-Harris-Madison School Corporation, Indiana!!Percent below poverty level!!Estimate",9.70%,6.40%,7.20%
"Perry Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",24.80%,29.70%,27.60%
"Pike Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",6.00%,7.80%,7.20%
"South Bend Community School Corporation, Indiana!!Percent below poverty level!!Estimate",39.70%,28.50%,31.30%
"Hamilton Southeastern Schools, Indiana!!Percent below poverty level!!Estimate",0.80%,7.30%,5.40%
"Tippecanoe School Corporation, Indiana!!Percent below poverty level!!Estimate",9.70%,15.10%,13.10%
"Vigo County School Corporation, Indiana!!Percent below poverty level!!Estimate",26.50%,14.90%,18.20%
"Warren Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",32.70%,39.80%,38.50%
"Washington Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",40.50%,13.70%,21.40%
"Wayne Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",27.00%,31.00%,29.50%
United States!!Percent below poverty level!!Estimate,21.30%,18.80%,19.10%
