Corp,Corp Name,School,School Name,2019 Hold Harmless Grade
0015,Adams Central Community Schools,0013,Adams Central Middle School,A
0015,Adams Central Community Schools,0020,Adams Central Elementary School,C
0015,Adams Central Community Schools,0021,Adams Central High School,A
0025,North Adams Community Schools,0029,Bellmont Senior High School,A
0025,North Adams Community Schools,0033,Bellmont Middle School,B
0025,North Adams Community Schools,0037,Bellmont Elementary ,C
0035,South Adams Schools,0017,South Adams Middle School,B
0035,South Adams Schools,0023,South Adams High School,A
0035,South Adams Schools,0025,South Adams Elementary School,A
0125,M S D Southwest Allen County Schls,0045,Aboite Elementary School,B
0125,M S D Southwest Allen County Schls,0046,Whispering Meadow Elementary Sch,C
0125,M S D Southwest Allen County Schls,0047,Homestead Senior High School,A
0125,M S D Southwest Allen County Schls,0063,Summit Middle School,A
0125,M S D Southwest Allen County Schls,0064,Lafayette Meadow School,B
0125,M S D Southwest Allen County Schls,0067,Woodside Middle School,A
0125,M S D Southwest Allen County Schls,0068,Haverhill Elementary School,D
0125,M S D Southwest Allen County Schls,0071,Deer Ridge Elementary,B
0125,M S D Southwest Allen County Schls,0072,Covington Elementary School,B
0225,Northwest Allen County Schools,0069,Arcola School,B
0225,Northwest Allen County Schools,0079,Maple Creek Middle School,A
0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,C
0225,Northwest Allen County Schools,0089,Huntertown Elementary School,C
0225,Northwest Allen County Schools,0090,Carroll Middle School,B
0225,Northwest Allen County Schools,0091,Carroll High School,A
0225,Northwest Allen County Schools,0092,Perry Hill Elementary School,A
0225,Northwest Allen County Schools,0094,Oak View Elementary School,B
0225,Northwest Allen County Schools,0095,Cedar Canyon Elementary School,B
0225,Northwest Allen County Schools,0096,Eel River Elementary School,B
0235,Fort Wayne Community Schools,0101,North Side High School,B
0235,Fort Wayne Community Schools,0102,R Nelson Snider High School,B
0235,Fort Wayne Community Schools,0105,South Side High School,C
0235,Fort Wayne Community Schools,0107,Blackhawk Middle School,C
0235,Fort Wayne Community Schools,0118,Jeff H Towles Intermediate School,C
0235,Fort Wayne Community Schools,0119,Jefferson Middle School,C
0235,Fort Wayne Community Schools,0121,Kekionga Middle School,D
0235,Fort Wayne Community Schools,0125,Lakeside Middle School,C
0235,Fort Wayne Community Schools,0126,Lane Middle School,D
0235,Fort Wayne Community Schools,0127,Memorial Park Middle School,B
0235,Fort Wayne Community Schools,0128,Miami Middle School,D
0235,Fort Wayne Community Schools,0129,Northwood Middle School,D
0235,Fort Wayne Community Schools,0133,Portage Middle School,D
0235,Fort Wayne Community Schools,0134,Weisser Park Elementary School,B
0235,Fort Wayne Community Schools,0136,Fairfield Elementary School,B
0235,Fort Wayne Community Schools,0137,Merle J Abbett Elementary School,F
0235,Fort Wayne Community Schools,0141,Adams Elementary School,B
0235,Fort Wayne Community Schools,0149,Bloomingdale Elementary School,F
0235,Fort Wayne Community Schools,0151,Bunche Elementary School,C
0235,Fort Wayne Community Schools,0153,Brentwood Elementary School,B
0235,Fort Wayne Community Schools,0154,Fred H Croninger Elementary School,A
0235,Fort Wayne Community Schools,0157,Forest Park Elementary School,C
0235,Fort Wayne Community Schools,0161,Franke Park Elementary School,C
0235,Fort Wayne Community Schools,0162,Glenwood Park Elementary School,B
0235,Fort Wayne Community Schools,0164,J Wilbur Haley Elementary School,C
0235,Fort Wayne Community Schools,0177,Wayne High School,B
0235,Fort Wayne Community Schools,0178,Harrison Hill Elementary School,C
0235,Fort Wayne Community Schools,0186,Mabel K Holland Elementary School,A
0235,Fort Wayne Community Schools,0189,Indian Village Elementary School,C
0235,Fort Wayne Community Schools,0193,John S Irwin Elementary School,C
0235,Fort Wayne Community Schools,0197,Lindley Elementary School,C
0235,Fort Wayne Community Schools,0205,Maplewood Elementary School,C
0235,Fort Wayne Community Schools,0209,Willard Shambaugh Elementary Sch,C
0235,Fort Wayne Community Schools,0217,Northcrest Elementary School,C
0235,Fort Wayne Community Schools,0219,Northrop High School,B
0235,Fort Wayne Community Schools,0221,Francis M Price Elementary School,B
0235,Fort Wayne Community Schools,0233,Saint Joseph Central School,B
0235,Fort Wayne Community Schools,0239,Robert C Harris Elementary School,B
0235,Fort Wayne Community Schools,0240,Shawnee Middle School,D
0235,Fort Wayne Community Schools,0241,Whitney M Young Early Childhood,B
0235,Fort Wayne Community Schools,0249,Levan R Scott Academy,F
0235,Fort Wayne Community Schools,0253,South Wayne Elementary School,C
0235,Fort Wayne Community Schools,0257,Study Elementary School,D
0235,Fort Wayne Community Schools,0265,Washington Elementary School,B
0235,Fort Wayne Community Schools,0269,Washington Center Elementary Sch,B
0235,Fort Wayne Community Schools,0270,Lincoln Elementary School,B
0235,Fort Wayne Community Schools,0273,Waynedale Elementary School,D
0235,Fort Wayne Community Schools,0275,Arlington Elementary School,B
0255,East Allen County Schools,0043,Prince Chapman Academy,D
0255,East Allen County Schools,0049,Leo Junior/Senior High School,A
0255,East Allen County Schools,0053,Leo Elementary School,A
0255,East Allen County Schools,0081,Heritage Jr/Sr High School,B
0255,East Allen County Schools,0083,New Haven Primary School,B
0255,East Allen County Schools,0281,Heritage Elementary School,B
0255,East Allen County Schools,0285,Woodlan Jr/Sr High School,B
0255,East Allen County Schools,0291,Cedarville Elementary School,A
0255,East Allen County Schools,0294,Paul Harding Jr High School,C
0255,East Allen County Schools,0297,New Haven High School,B
0255,East Allen County Schools,0301,New Haven Middle School,B
0255,East Allen County Schools,0305,New Haven Intermediate School,B
0255,East Allen County Schools,0310,Southwick Elementary School,D
0255,East Allen County Schools,0323,Woodlan Elementary School,A
0255,East Allen County Schools,0394,East Allen University,A
0365,Bartholomew Con School Corp,0328,Clifty Creek Elementary School,C
0365,Bartholomew Con School Corp,0346,CSA Lincoln Campus,A
0365,Bartholomew Con School Corp,0353,Mount Healthy Elementary School,B
0365,Bartholomew Con School Corp,0357,Parkside Elementary School,B
0365,Bartholomew Con School Corp,0363,W D Richards Elementary School,A
0365,Bartholomew Con School Corp,0366,Rockcreek Elementary School,A
0365,Bartholomew Con School Corp,0369,Lillian Schmitt Elementary School,C
0365,Bartholomew Con School Corp,0371,L F Smith Elementary,B
0365,Bartholomew Con School Corp,0375,CSA Fodrea Campus,B
0365,Bartholomew Con School Corp,0377,Taylorsville Elementary School,C
0365,Bartholomew Con School Corp,0390,Central Middle School,C
0365,Bartholomew Con School Corp,0392,Southside Elementary School,B
0365,Bartholomew Con School Corp,0395,Northside Middle School,B
0365,Bartholomew Con School Corp,0397,Columbus North High School,B
0365,Bartholomew Con School Corp,0399,Columbus East High School,B
0370,Flat Rock-Hawcreek School Corp,0409,Hope Elementary School,B
0370,Flat Rock-Hawcreek School Corp,0410,Hauser Jr-Sr High School,B
0395,Benton Community School Corp,0421,Otterbein Elementary School,B
0395,Benton Community School Corp,0433,Boswell Elementary School,C
0395,Benton Community School Corp,0445,Benton Central Jr-Sr High School,B
0395,Benton Community School Corp,0446,Prairie Crossing Elementary School,C
0515,Blackford County Schools,0485,Montpelier School,B
0515,Blackford County Schools,0489,Blackford High School,B
0515,Blackford County Schools,0491,Blackford Junior High School,C
0515,Blackford County Schools,0494,North Side Elementary School,A
0515,Blackford County Schools,0501,Southside Elementary School,A
0615,Western Boone Co Com Sch Dist,0521,Granville Wells Elementary School,B
0615,Western Boone Co Com Sch Dist,0537,Thorntown Elementary School,B
0615,Western Boone Co Com Sch Dist,0539,Western Boone Jr-Sr High School,B
0630,Zionsville Community Schools,0510,Zionsville West Middle School,A
0630,Zionsville Community Schools,0511,Zionsville Middle School,A
0630,Zionsville Community Schools,0512,Zionsville Community High School,A
0630,Zionsville Community Schools,0514,Eagle Elementary School,A
