Label,        Under 5 years,        5 to 17 years,        Related children of householder under 18 years
"Anderson Community School Corporation, Indiana!!Percent below poverty level!!Estimate",32.40%,43.60%,40.90%
"Bartholomew County School Corporation, Indiana!!Percent below poverty level!!Estimate",20.10%,24.70%,22.80%
"Monroe County Community School Corporation, Indiana!!Percent below poverty level!!Estimate",34.00%,16.70%,21.40%
"Carmel Clay Schools, Indiana!!Percent below poverty level!!Estimate",1.70%,1.60%,1.60%
"East Allen County Schools, Indiana!!Percent below poverty level!!Estimate",21.70%,13.50%,15.80%
"Elkhart Community Schools, Indiana!!Percent below poverty level!!Estimate",28.90%,14.50%,18.50%
"Evansville-Vanderburgh School Corporation, Indiana!!Percent below poverty level!!Estimate",35.90%,23.20%,26.30%
"Fort Wayne Community Schools, Indiana!!Percent below poverty level!!Estimate",27.60%,23.40%,24.10%
"Gary Community School Corporation, Indiana!!Percent below poverty level!!Estimate",73.00%,56.40%,60.50%
"Greater Clark County Schools, Indiana!!Percent below poverty level!!Estimate",26.20%,18.70%,18.90%
"Hammond School City, Indiana!!Percent below poverty level!!Estimate",30.70%,23.30%,24.70%
"Indianapolis Public Schools, Indiana!!Percent below poverty level!!Estimate",35.70%,34.80%,34.70%
"Lake Central School Corporation, Indiana!!Percent below poverty level!!Estimate",0.00%,4.60%,3.80%
"Lawrence Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",18.20%,15.70%,16.30%
"Muncie Community Schools, Indiana!!Percent below poverty level!!Estimate",39.60%,23.80%,28.00%
"New Albany-Floyd County Consolidated Schools, Indiana!!Percent below poverty level!!Estimate",12.60%,11.10%,11.00%
"Penn-Harris-Madison School Corporation, Indiana!!Percent below poverty level!!Estimate",16.20%,10.30%,11.80%
"Perry Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",36.70%,24.80%,28.40%
"Pike Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",13.50%,23.30%,19.40%
"South Bend Community School Corporation, Indiana!!Percent below poverty level!!Estimate",14.80%,23.30%,20.80%
"Hamilton Southeastern Schools, Indiana!!Percent below poverty level!!Estimate",1.50%,0.00%,0.30%
"Tippecanoe School Corporation, Indiana!!Percent below poverty level!!Estimate",15.20%,16.50%,15.60%
"Vigo County School Corporation, Indiana!!Percent below poverty level!!Estimate",31.10%,22.90%,24.80%
"Warren Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",19.40%,16.80%,17.40%
"Washington Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",12.70%,17.90%,16.30%
"Wayne Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",32.10%,25.90%,26.10%
United States!!Percent below poverty level!!Estimate,20.20%,17.80%,18.10%
