State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder,
IN,18,04770,Indianapolis Public Schools,"316,275","51,123","13,567",
IN,18,04800,Jac-Cen-Del Community School Corporation,"5,015",825,126,
IN,18,04980,Jay School Corporation,"20,436","3,728",644,
IN,18,05190,Jennings County Schools,"27,735","4,748",714,
IN,18,09120,John Glenn School Corporation,"9,991","1,857",173,
IN,18,05280,Kankakee Valley School Corporation,"20,211","3,652",323,
IN,18,05340,Knox Community School Corporation,"10,894","1,865",303,
IN,18,05370,Kokomo-Center Township Consolidated School Corporation,"45,116","6,992","1,482",
IN,18,05580,La Porte Community School Corporation,"38,096","6,240","1,072",
IN,18,05400,Lafayette School Corporation,"63,777","10,050","1,994",
IN,18,05450,Lake Central School Corporation,"65,294","10,688",542,
IN,18,05460,Lake Ridge Schools,"11,927","1,990",523,
IN,18,02910,Lake Station Community Schools,"8,399","1,405",285,
IN,18,05520,Lakeland School Corporation,"15,639","3,094",389,
IN,18,03720,Lanesville Community School Corporation,"4,232",727,51,
IN,18,05670,Lawrence Township Metropolitan School District,"102,228","19,297","2,456",
IN,18,05700,Lawrenceburg Community School Corporation,"10,920","1,688",259,
IN,18,05790,Lebanon Community School Corporation,"25,868","4,195",428,
IN,18,05880,Liberty-Perry Community School Corporation,"6,011",986,160,
IN,18,05910,Linton-Stockton School Corporation,"8,129","1,260",223,
IN,18,06030,Logansport Community School Corporation,"23,202","3,890",579,
IN,18,06060,Loogootee Community School Corporation,"5,770",985,108,
IN,18,06090,Maconaquah School Corporation,"14,777","2,119",336,
IN,18,06120,Madison Consolidated Schools,"22,918","3,399",510,
IN,18,06240,Madison-Grant United School Corporation,"8,250","1,391",191,
IN,18,06270,Manchester Community Schools,"9,821","1,337",173,
IN,18,06390,Marion Community Schools,"34,589","4,751","1,324",
IN,18,06510,Martinsville Schools Metropolitan School District,"31,247","5,083",646,
IN,18,01230,Medora Community School Corporation,"1,576",299,50,
IN,18,09690,Merrillville Community School,"46,355","7,354","1,129",
IN,18,06570,Michigan City Area Schools,"47,808","6,955","2,260",
IN,18,06600,Middlebury Community Schools,"22,881","5,346",334,
IN,18,06630,Milan Community Schools,"6,099","1,105",112,
IN,18,06660,Mill Creek Community School Corporation,"10,922","1,977",144,
IN,18,06840,Mishawaka School City,"30,968","5,311",967,
IN,18,06870,Mississinewa Community School Corporation,"10,212","1,772",240,
IN,18,06900,Mitchell Community Schools,"11,820","1,900",231,
IN,18,07080,Monroe Central School Corporation,"5,330",877,108,
IN,18,00630,Monroe County Community School Corporation,"129,857","13,500","1,696",
IN,18,04140,Monroe-Gregg School District,"8,073","1,372",94,
IN,18,07140,Mooresville Consolidated School Corporation,"24,660","4,268",459,
IN,18,07230,Mount Pleasant Township Community School Corporation,"13,676","2,271",272,
IN,18,07260,Mount Vernon Community School Corporation,"21,673","3,927",170,
IN,18,07290,Mount Vernon Metropolitan School District,"15,605","2,605",264,
IN,18,07320,Muncie Community Schools,"67,122","7,527","2,340",
IN,18,07350,Munster School Town,"23,070","4,035",201,
IN,18,07380,Nettle Creek School Corporation,"6,797","1,277",168,
IN,18,07410,New Albany-Floyd County Consolidated Schools,"78,522","13,071","1,706",
IN,18,07440,New Castle Community School Corporation,"22,635","3,524",548,
IN,18,07470,New Durham Township Metropolitan School District,"8,540",878,125,
IN,18,07560,New Prairie United School Corporation,"15,265","2,706",341,
IN,18,07620,Nineveh-Hensley-Jackson United School Corporation,"11,421","2,014",146,
IN,18,07650,Noblesville Schools,"62,249","11,615",583,
IN,18,07680,North Adams Community Schools,"15,705","2,751",292,
IN,18,00118,North Central Parke Community School Corporation,"11,067","1,620",385,
IN,18,07710,North Daviess Community Schools,"9,346","2,275",278,
IN,18,07770,North Gibson School Corporation,"14,416","2,483",324,
IN,18,00690,North Harrison Community School Corporation,"14,144","2,441",250,
IN,18,07800,North Judson-San Pierre School Corporation,"7,330","1,261",185,
IN,18,07830,North Knox School Corporation,"8,418","1,398",197,
IN,18,07860,North Lawrence Community Schools,"33,550","5,304",725,
IN,18,07890,North Miami Community Schools,"5,866","1,032",102,
IN,18,07900,North Montgomery Community School Corporation,"12,087","2,163",216,
IN,18,07920,North Newton School Corporation,"9,064","1,401",128,
IN,18,07950,North Posey County Schools Metropolitan School District,"9,822","1,582",91,
IN,18,07980,North Putnam Community Schools,"10,120","1,715",187,
IN,18,08010,North Spencer County School Corporation,"11,656","1,866",143,
IN,18,08070,North Vermillion Community School Corporation,"4,288",687,120,
IN,18,08100,North West Hendricks Schools,"11,270","2,250",78,
IN,18,08130,North White School Corporation,"5,946",951,166,
IN,18,08120,Northeast Dubois County School Corporation,"5,528",998,56,
IN,18,08160,Northeast School Corporation,"8,354","1,287",225,
IN,18,08190,Northeastern Wayne Schools,"5,579","1,053",194,
IN,18,08220,Northern Wells Community Schools,"15,537","2,857",239,
IN,18,08250,Northwest Allen County Schools,"37,432","7,921",259,
IN,18,08310,Northwestern Consolidated School Corporation,"7,737","1,405",158,
IN,18,02040,Northwestern School Corporation,"8,676","1,577",145,
IN,18,08340,Oak Hill United School Corporation,"7,366","1,263",142,
IN,18,08460,Oregon-Davis School Corporation,"4,341",700,96,
IN,18,08490,Orleans Community Schools,"4,723",832,162,
IN,18,08640,Paoli Community School Corporation,"9,223","1,526",344,
IN,18,08760,Penn-Harris-Madison School Corporation,"62,280","11,873",985,
IN,18,01740,Perry Central Community School Corporation,"7,292","1,090",97,
IN,18,08820,Perry Township Metropolitan School District,"100,244","16,747","2,023",
IN,18,08850,Peru Community Schools,"12,991","2,110",409,
IN,18,08900,Pike County School Corporation,"12,389","1,986",209,
IN,18,08910,Pike Township Metropolitan School District,"78,537","13,898","2,001",
IN,18,08940,Pioneer Regional School Corporation,"5,035",862,84,
