Label,            Under 5 years,            5 to 17 years,            Related children of householder under 18 years
"Anderson Community School Corporation, Indiana!!Percent below poverty level!!Estimate",35.30%,18.70%,24.10%
"Bartholomew County School Corporation, Indiana!!Percent below poverty level!!Estimate",5.50%,29.80%,22.90%
"Monroe County Community School Corporation, Indiana!!Percent below poverty level!!Estimate",23.50%,16.20%,16.90%
"Carmel Clay Schools, Indiana!!Percent below poverty level!!Estimate",0.00%,5.70%,4.30%
"East Allen County Schools, Indiana!!Percent below poverty level!!Estimate",7.80%,8.70%,8.20%
"Elkhart Community Schools, Indiana!!Percent below poverty level!!Estimate",18.50%,11.20%,13.50%
"Evansville-Vanderburgh School Corporation, Indiana!!Percent below poverty level!!Estimate",31.00%,17.30%,20.60%
"Fort Wayne Community Schools, Indiana!!Percent below poverty level!!Estimate",19.50%,17.10%,17.60%
"Gary Community School Corporation, Indiana!!Percent below poverty level!!Estimate",40.20%,46.20%,44.40%
"Greater Clark County Schools, Indiana!!Percent below poverty level!!Estimate",2.20%,16.80%,12.40%
"Hammond School City, Indiana!!Percent below poverty level!!Estimate",15.70%,29.40%,25.30%
"Indianapolis Public Schools, Indiana!!Percent below poverty level!!Estimate",34.50%,32.60%,32.80%
"Lake Central School Corporation, Indiana!!Percent below poverty level!!Estimate",18.20%,6.80%,10.20%
"Lawrence Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",1.80%,14.50%,10.80%
"Muncie Community Schools, Indiana!!Percent below poverty level!!Estimate",17.20%,42.90%,35.30%
"New Albany-Floyd County Consolidated Schools, Indiana!!Percent below poverty level!!Estimate",18.80%,16.20%,16.60%
"Penn-Harris-Madison School Corporation, Indiana!!Percent below poverty level!!Estimate",1.80%,7.70%,5.90%
"Perry Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",10.60%,9.60%,9.90%
"Pike Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",15.40%,12.90%,13.30%
"South Bend Community School Corporation, Indiana!!Percent below poverty level!!Estimate",36.20%,29.20%,30.50%
"Hamilton Southeastern Schools, Indiana!!Percent below poverty level!!Estimate",3.70%,4.70%,4.50%
"Tippecanoe School Corporation, Indiana!!Percent below poverty level!!Estimate",12.80%,7.50%,9.10%
"Vigo County School Corporation, Indiana!!Percent below poverty level!!Estimate",29.40%,28.20%,27.90%
"Warren Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",3.20%,12.80%,9.70%
"Washington Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",21.10%,23.80%,23.00%
"Wayne Township Metropolitan School District, Indiana!!Percent below poverty level!!Estimate",23.30%,15.40%,17.00%
United States!!Percent below poverty level!!Estimate,18.20%,16.20%,16.40%
